[2026-03-22T13:39:42.204Z] GET http://localhost:8502/ → 200 (51ms, 891B)
[2026-03-22T13:39:42.266Z] GET http://localhost:8502/static/media/SourceSansPro-Regular.0d69e5ff5e92ac64a0c9.woff2 → 200 (14ms, 77664B)
[2026-03-22T13:39:42.266Z] GET http://localhost:8502/static/media/SourceSansPro-SemiBold.abed79cd0df1827e18cf.woff2 → 200 (14ms, 77452B)
[2026-03-22T13:39:42.266Z] GET http://localhost:8502/static/media/SourceSansPro-Bold.118dea98980e20a81ced.woff2 → 200 (14ms, 76860B)
[2026-03-22T13:39:42.266Z] GET http://localhost:8502/static/js/main.33cac65c.js → 200 (116ms, 4509950B)
[2026-03-22T13:39:42.266Z] GET http://localhost:8502/static/css/main.5513bd04.css → 200 (5ms, 29356B)
[2026-03-22T13:39:42.698Z] GET http://localhost:8502/_stcore/health → 200 (52ms, 2B)
[2026-03-22T13:39:42.699Z] GET http://localhost:8502/_stcore/host-config → 200 (52ms, 636B)
[2026-03-22T13:39:42.751Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:42.751Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:42.752Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.752Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:42.765Z] GET http://localhost:8502/_stcore/health → 200 (5ms, 2B)
[2026-03-22T13:39:42.765Z] GET http://localhost:8502/_stcore/host-config → 200 (5ms, 636B)
[2026-03-22T13:39:42.775Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.775Z] GET http://localhost:8502/_stcore/host-config → 200 (4ms, 636B)
[2026-03-22T13:39:42.793Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.794Z] GET http://localhost:8502/_stcore/host-config → 200 (3ms, 636B)
[2026-03-22T13:39:42.804Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.804Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.817Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.817Z] GET http://localhost:8502/_stcore/host-config → 200 (5ms, 636B)
[2026-03-22T13:39:42.833Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.833Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.843Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.843Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.856Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.856Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:42.870Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.870Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.883Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.883Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:42.896Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.896Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.907Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.907Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.920Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.920Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:42.933Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:42.933Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:42.947Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:42.947Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:42.958Z] GET http://localhost:8502/_stcore/health → 200 (17ms, 2B)
[2026-03-22T13:39:42.958Z] GET http://localhost:8502/_stcore/host-config → 200 (18ms, 636B)
[2026-03-22T13:39:42.976Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:42.976Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.002Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.003Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.015Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.015Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.030Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.030Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.042Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.042Z] GET http://localhost:8502/_stcore/host-config → 200 (3ms, 636B)
[2026-03-22T13:39:43.055Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.055Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.073Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.073Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.084Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.084Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.098Z] GET http://localhost:8502/_stcore/health → pending (?ms, ?B)
[2026-03-22T13:39:43.098Z] GET http://localhost:8502/_stcore/host-config → pending (?ms, ?B)
[2026-03-22T13:39:43.112Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.112Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.123Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.124Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.137Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.137Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.150Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.150Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.163Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.163Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.177Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.177Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.190Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.190Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.203Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.203Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.215Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.215Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.228Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.228Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.241Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.241Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.255Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.255Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.267Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.267Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.280Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.280Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.293Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.293Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.307Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.307Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.320Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.320Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.331Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.331Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.345Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.345Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.358Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.358Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.371Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.371Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.384Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.384Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.397Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.397Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.411Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.411Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.423Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.423Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.435Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.436Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.448Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.448Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.462Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.462Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:43.473Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.473Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.486Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.486Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.499Z] GET http://localhost:8502/_stcore/health → 200 (3ms, 2B)
[2026-03-22T13:39:43.499Z] GET http://localhost:8502/_stcore/host-config → 200 (4ms, 636B)
[2026-03-22T13:39:43.512Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.512Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.525Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.525Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.538Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.538Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.551Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.551Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.564Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.564Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.577Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.577Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.590Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.590Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.603Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.603Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.616Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.616Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.630Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.630Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.642Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.642Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.655Z] GET http://localhost:8502/_stcore/health → 200 (2ms, 2B)
[2026-03-22T13:39:43.655Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.668Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.668Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.680Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.680Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.693Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.693Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.706Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.706Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.718Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.719Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.731Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.731Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.744Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.745Z] GET http://localhost:8502/_stcore/host-config → 200 (?ms, 636B)
[2026-03-22T13:39:43.759Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.759Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.771Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.771Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.784Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
[2026-03-22T13:39:43.784Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.798Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.798Z] GET http://localhost:8502/_stcore/host-config → 200 (1ms, 636B)
[2026-03-22T13:39:43.811Z] GET http://localhost:8502/_stcore/health → 200 (?ms, 2B)
[2026-03-22T13:39:43.811Z] GET http://localhost:8502/_stcore/host-config → 200 (2ms, 636B)
[2026-03-22T13:39:43.826Z] GET http://localhost:8502/_stcore/health → 200 (1ms, 2B)
